name,pros_name,pros_gen,ram,ssd,hdd,graphic_card,os,display,touch,warranty,rating,price
HP,Intel Core i5,11,8,512,0,0,Windows 11 ,15.6,0,1,4.3,49990
HP,Intel Core i3,12,8,512,0,0,Windows 11 ,14.0,0,1,4.2,41990
HP,Other AMD Processors,0,8,512,0,0,Windows 11 ,15.6,0,1,4.0,31990
APPLE,Apple M1 Processor,0,8,256,0,0,Mac OS ,13.3,0,1,4.7,75990
ASUS,Intel Core i5,11,8,512,0,0,Windows 11 ,15.6,0,1,4.3,40990
ASUS,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,1,4.3,34990
Lenovo,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.1,33990
HP,Other Intel Processors,0,4,0,0,0,Chrome ,14.0,1,1,3.7,19990
HP,Intel Core i5,11,16,512,0,0,Windows 11 ,15.6,0,1,4.3,52990
Lenovo,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,2,4.2,35990
HP,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,14.0,0,1,4.4,57990
Primebook,Mediatek,0,4,0,0,0,Prime OS ,11.6,0,1,4.1,13990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.1,33990
HP,Intel Core i3,12,8,512,0,0,Windows 11 ,15.6,0,1,4.2,39990
Lenovo,Intel Core i5,12,16,512,0,6,Windows 11 ,15.6,0,1,4.2,78990
realme,Intel Core i3,11,8,256,0,0,Windows 10 ,14.0,0,1,4.4,32990
HP,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.4,45350
HP,Intel Core i5,13,16,512,0,6,Windows 11 ,16.1,0,1,4.2,102990
HP,Intel Core i3,11,8,256,0,0,Windows 11 ,14.0,0,1,4.3,34490
HP,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.3,40999
CHUWI,Other Intel Processors,11,8,256,0,0,Windows 11 ,14.1,0,1,4.5,19990
HP,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,14.0,0,1,4.2,56990
HP,Intel Core i3,12,8,512,0,0,Windows 11 ,15.6,0,1,4.3,39980
ASUS,Intel Core i3,11,8,256,0,0,Windows 11 ,15.6,0,1,4.3,32990
ASUS,AMD Ryzen 5,0,8,1024,0,4,Windows 11 ,15.6,0,1,4.3,52990
MSI,AMD Ryzen 7,0,16,512,0,4,Windows 11 ,15.6,0,1,4.4,57990
MSI,Intel Core i3,11,8,512,0,0,Windows 11 ,14.0,0,1,4.3,32990
Acer,Intel Core i3,11,8,256,0,0,Windows 11 ,14.0,0,1,4.1,26990
HP,AMD Ryzen 5,0,8,512,0,4,Windows 11 ,15.6,0,1,4.2,53990
HP,Intel Core i5,12,16,512,0,0,Windows 11 ,15.6,0,1,4.3,67990
Infinix,Intel Core i3,11,8,512,0,0,Windows 11 ,14.0,0,1,4.2,30990
Infinix,Other Intel Processors,11,8,512,0,0,Windows 11 ,15.4,0,1,4.1,24490
Lenovo,Intel Core i5,11,8,512,0,4,Windows 11 ,15.6,0,1,4.3,48990
HP,Intel Core i3,11,8,512,0,0,Windows 11 ,14.0,0,1,4.3,38490
ASUS,Intel Core i5,12,16,512,0,0,Windows 11 ,14.0,0,1,4.4,66990
HP,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,15.6,0,1,4.4,50990
HP,AMD Ryzen 5,0,16,512,0,4,Windows 11 ,15.6,0,1,4.3,62990
